id_orgao,id_servico,nome_orgao
37534,1158,Ministério da Saúde (MS)
36802,51,Instituto Nacional do Seguro Social (INSS)
58051,2340,Agência Nacional de Mineração (ANM)
822,1700,Advocacia-Geral da União (AGU)
37547,73,Ministério do Turismo (MTur)
58108,4010,Ministério da Economia (ME)
822,1702,Advocacia-Geral da União (AGU)
34308,2964,"Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho (FUNDACENTRO)"
37534,392,Ministério da Saúde (MS)
37525,498,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
37524,955,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
34306,2561,Fundação Instituto de Pesquisa Econômica Aplicada (IPEA)
37525,958,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
34305,2464,Fundação Instituto Brasileiro de Geografia e Estatística (IBGE)
822,1703,Advocacia-Geral da União (AGU)
13293,809,Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES)
37525,957,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
58051,2758,Agência Nacional de Mineração (ANM)
37021,3049,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro (JBRJ)
37528,1227,Ministério da Educação (MEC)
37525,962,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
908,3138,Agência Nacional de Aviação Civil (ANAC)
37525,959,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
37525,960,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
58045,973,Ministério da Cidadania (MCIDADANIA)
908,3139,Agência Nacional de Aviação Civil (ANAC)
37527,2310,Ministério da Defesa (MD)
37528,990,Ministério da Educação (MEC)
58108,1498,Ministério da Economia (ME)
36722,2465,Instituto Brasileiro de Museus (IBRAM)
58051,2759,Agência Nacional de Mineração (ANM)
58045,966,Ministério da Cidadania (MCIDADANIA)
58109,1424,Ministério do Desenvolvimento Regional (MDR)
37528,994,Ministério da Educação (MEC)
